Counts_SAQuant_Day_0_1_1	Counts_SAQuant_Day_0_2_1	Counts_SAQuant_Day_0_3_1	Counts_SAQuant_Day_7_1_1	Counts_SAQuant_Day_7_2_1	Counts_SAQuant_Day_7_3_1
AKAP3	33	28	24	12	23	23
AKAP4	0	0	0	0	0	1
AKAP5	273	205	204	253	260	241
AKAP6	1993	1672	1612	1265	1337	1460
AKAP7	27	24	18	43	38	43
AKAP8	2211	1843	1831	1522	1661	1680
AKAP8L	2168	1854	1692	2031	2154	2129
AKAP9	7276	6100	5808	6211	6082	6666
AKIP1	582	498	432	390	337	427
AKIRIN1	4119	3484	3528	2911	2952	3142
AKIRIN2	1885	1595	1520	1253	1261	1368
AKNA	2029	1776	1724	1184	1279	1254
AKNAD1	10	22	18	35	45	31
AKR1A1	3991	3457	3227	2104	2071	2233
AKR1B1	2777	2384	2279	1821	1821	1889
AKR1B10	72	48	39	22	23	22
AKR1B15	1185	1081	1039	370	412	455
AKR1C1	82	67	68	62	47	50
AKR1C2	108	93	87	84	90	91
AKR1C3	124	90	112	282	230	202
AKR1C4	0	0	0	0	0	1
AKR1C6P	14	5	7	9	3	8
AKR1C8P	1	1	2	2	1	2
AKR1D1	22	26	22	11	11	13
AKR1E2	277	238	210	177	156	181
AKR7A2	2541	2348	2050	1718	1731	1802
AKR7A2P1	5	5	8	6	6	12
AKR7A3	62	48	54	55	45	45
AKR7L	170	164	134	158	154	139
AKT1	14199	12563	11520	10912	11250	11622
AKT1S1	2536	2316	2195	1993	2065	2165
AKT2	8368	7394	6790	6549	6913	6964
AKT3	1900	1651	1578	2314	2292	2483
AKTIP	2198	1921	1808	1054	1044	1130
ALAD	2784	2413	2189	3363	3568	3652
ALAS1	2708	2382	2248	1980	1870	2041
ALAS2	6	8	5	7	11	5
ALB	38	34	26	21	24	29
ALCAM	8862	7748	7158	2712	3057	2957
ALDH16A1	1600	1401	1377	947	1010	1051
ALDH18A1	3248	2954	2778	1884	1941	2036
ALDH1A1	10	13	10	36	37	26
ALDH1A2	7	5	3	4	2	0
ALDH1A3	11588	10361	10016	2378	2387	2617
ALDH1B1	2546	2119	2073	1746	1760	1905
ALDH1L1	1515	1294	1219	268	309	306
ALDH1L2	254	200	223	353	372	371
ALDH2	873	704	708	944	977	989
ALDH3A1	1267	1077	973	551	534	622
ALDH3A2	12014	10150	9645	9609	9506	10235
ALDH3B1	6348	5554	4927	7968	8401	8767
ALDH3B2	594	498	480	38	30	45
ALDH4A1	761	630	560	591	603	642
ALDH5A1	1625	1419	1411	1691	1824	1847
ALDH6A1	1847	1548	1511	2259	2248	2388
ALDH7A1	2821	2328	2351	2067	2046	2201
ALDH8A1	155	129	111	114	112	123
ALDH9A1	6787	5753	5848	4205	4120	4474
ALDOA	75713	67429	62286	40917	40366	43044
ALDOB	1	6	2	8	6	10
ALDOC	3181	2696	2594	1314	1311	1393
ALG1	1739	1598	1492	1714	1690	1957
ALG10	632	528	526	334	341	349
ALG10B	3783	3386	3124	1804	2117	1913
ALG11	727	586	618	756	678	758
ALG12	1045	892	856	840	768	826
ALG13	2040	1753	1603	1793	1936	1964
ALG14	429	370	370	424	472	507
ALG1L	195	169	156	125	132	166
ALG1L2	67	55	50	40	41	56
ALG1L9P	349	309	286	303	267	284
ALG2	3623	3120	2982	3451	3409	3756
ALG3	1584	1456	1270	1346	1464	1369
ALG5	1526	1245	1233	1152	1102	1269
ALG6	1012	852	831	572	531	556
ALG8	3428	3123	2862	2451	2337	2641
ALG9	1715	1384	1415	1608	1549	1665
ALK	9	7	8	79	67	68
ALKBH1	1012	873	873	938	891	1006
ALKBH2	845	768	623	690	713	706
ALKBH3	598	613	529	470	517	470
ALKBH4	766	752	647	764	773	832
ALKBH5	5637	5081	4785	4512	4629	5027
ALKBH6	561	481	487	416	438	405
ALKBH7	755	714	707	543	643	598
ALKBH8	2124	1817	1773	1793	1801	1801
ALLC	5	5	5	6	3	4
ALMS1	3636	3111	3117	3545	3403	3764
ALMS1P1	7	7	5	16	15	21
ALOX12	104	90	86	175	159	182
ALOX12B	294	220	238	107	118	118
ALOX12P2	47	30	28	35	52	57
ALOX15	62	41	53	12	16	17
ALOX15B	13	12	4	13	10	10
ALOX15P1	42	54	33	22	21	30
ALOX5	0	0	0	0	0	1
ALOX5AP	18	17	11	84	85	118
ALOXE3	243	244	196	80	71	93
ALPI	0	0	1	2	4	2
ALPK1	2614	2254	2248	1705	1670	1830
ALPK2	24	16	25	25	30	35
ALPK3	383	339	351	45	44	44
ALPL	12	10	13	38	35	34
ALPP	78	62	88	177	163	192
ALPPL2	24	20	8	16	26	21
ALS2	2716	2313	2298	2408	2429	2535
ALS2CL	2604	2328	2042	549	634	646
ALS2CR11	85	51	51	90	64	75
ALS2CR12	77	83	57	111	111	124
ALX1	4	2	2	1	3	2
ALX3	269	232	241	164	187	195
ALX4	5	1	2	1	1	0
ALYREF	8420	7591	7178	4734	4938	4972
AMACR	2107	1717	1675	1638	1575	1743
AMBN	0	0	2	0	0	1
AMBP	1	0	0	0	0	0
AMBRA1	1573	1374	1240	1249	1324	1384
AMD1	6038	5439	5439	3317	3267	3533
AMDHD1	186	131	141	216	178	199
AMDHD2	1120	1026	870	1101	1197	1209
AMELX	0	0	0	0	0	0
AMELY	0	0	0	0	0	0
AMER1	1112	912	941	897	861	979
AMER2	36	52	43	30	33	40
AMER3	51	46	48	55	57	38
AMFR	4747	4028	4102	3311	3342	3494
AMH	184	177	170	172	193	175
AMHR2	9	11	6	5	5	10
AMIGO1	38	36	33	61	75	63
AMIGO2	5273	4782	4470	2930	2912	3089
AMIGO3	217	190	159	431	482	490
